danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,Song Title,Artist
0.854,0.569,0.45454545454545453,0.6323506594259115,0,0.106,0.0609,0.0816,0.1,0.294,0.39608444917456626,audio_features,7ycWLEP1GsNjVvcjawXz3z,spotify:track:7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/audio-analysis/7ycWLEP1GsNjVvcjawXz3z,205040,4,rap,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky
0.502,0.89,0.36363636363636365,0.2864813994685562,1,0.0364,0.000147,0.0117,0.217,0.259,0.6818680897786177,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880,4,rock,Thunderstruck,AC/DC
0.243,0.0195,0.8181818181818182,0.9369096178617431,0,0.0466,0.97,0.892,0.0858,0.0391,0.6500332874018796,audio_features,10yXfuLcIilEbs2JrMU7oY,spotify:track:10yXfuLcIilEbs2JrMU7oY,https://api.spotify.com/v1/tracks/10yXfuLcIilEbs2JrMU7oY,https://api.spotify.com/v1/audio-analysis/10yXfuLcIilEbs2JrMU7oY,161293,4,classical,"Le Carnaval des Animaux, R. 125: VII. Aquarium",Camille Saint-Saëns
0.64,0.835,0.0,0.23434757167934467,1,0.0413,0.0726,3.11e-06,0.132,0.704,0.5367079052623324,audio_features,7LimFGKop84KMDutqYaNIF,spotify:track:7LimFGKop84KMDutqYaNIF,https://api.spotify.com/v1/tracks/7LimFGKop84KMDutqYaNIF,https://api.spotify.com/v1/audio-analysis/7LimFGKop84KMDutqYaNIF,205920,4,country,How Do You Like Me Now?!,Toby Keith
0.36,0.0249,0.09090909090909091,0.7250161013310433,1,0.0463,0.993,0.932,0.0454,0.0396,0.6865152476943959,audio_features,6N7JzrteJv8lsr1GWYyu0b,spotify:track:6N7JzrteJv8lsr1GWYyu0b,https://api.spotify.com/v1/tracks/6N7JzrteJv8lsr1GWYyu0b,https://api.spotify.com/v1/audio-analysis/6N7JzrteJv8lsr1GWYyu0b,279160,5,classical,"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)",Claude Debussy
0.453,0.987,0.7272727272727273,0.24828387953941544,1,0.0889,0.0195,0.283,0.268,0.316,0.6309220437657993,audio_features,0G21yYKMZoHa30cYVi1iA8,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8,273480,4,rock,Welcome To The Jungle,Guns N' Roses
0.717,0.386,0.8181818181818182,0.41198808202371906,0,0.13,0.0554,5.16e-06,0.0353,0.863,1.0,audio_features,4TqAoRSW8kOKfO4y5R0GLy,spotify:track:4TqAoRSW8kOKfO4y5R0GLy,https://api.spotify.com/v1/tracks/4TqAoRSW8kOKfO4y5R0GLy,https://api.spotify.com/v1/audio-analysis/4TqAoRSW8kOKfO4y5R0GLy,242507,4,rnb,All I Ever Wanted,Mase
0.724,0.573,0.6363636363636364,0.31908456167571764,1,0.0549,0.118,0.0,0.538,0.438,0.5598000148503824,audio_features,4KW1lqgSr8TKrvBII0Brf8,spotify:track:4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/tracks/4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/audio-analysis/4KW1lqgSr8TKrvBII0Brf8,135920,4,rap,Father Stretch My Hands Pt. 1,Kanye West
0.431,0.291,0.0,0.40824924860455125,1,0.0668,0.992,0.124,0.282,0.387,0.3590188215743651,audio_features,6wRcTF4492foSZMTbqTsAn,spotify:track:6wRcTF4492foSZMTbqTsAn,https://api.spotify.com/v1/tracks/6wRcTF4492foSZMTbqTsAn,https://api.spotify.com/v1/audio-analysis/6wRcTF4492foSZMTbqTsAn,296213,4,classical,"Il barbiere di Siviglia / Act I: No. 2 Cavatina: ""Largo al factotum""",Gioachino Rossini
0.729,0.434,0.2727272727272727,0.5322778524274113,0,0.079,0.0473,1.23e-05,0.314,0.743,0.4605279845467938,audio_features,60NvAO9lx0KmBNAVHIlWN6,spotify:track:60NvAO9lx0KmBNAVHIlWN6,https://api.spotify.com/v1/tracks/60NvAO9lx0KmBNAVHIlWN6,https://api.spotify.com/v1/audio-analysis/60NvAO9lx0KmBNAVHIlWN6,243360,4,rnb,How Deep Is Your Love,Dru Hill
0.585,0.511,0.09090909090909091,0.4568948702945192,1,0.0391,0.647,0.007,0.0392,0.552,0.5190671319896478,audio_features,6H7nDglS6xWpRidbhMwI2L,spotify:track:6H7nDglS6xWpRidbhMwI2L,https://api.spotify.com/v1/tracks/6H7nDglS6xWpRidbhMwI2L,https://api.spotify.com/v1/audio-analysis/6H7nDglS6xWpRidbhMwI2L,179491,4,country,Here You Come Again,Dolly Parton
